Title,Author,Year,Period,Total Words,Unique Words,Language,Zipf Exponent,Zipf R²,Heaps Exponent,Heaps R²,Taylor Exponent,Taylor R²,Correlation Exponent,Correlation R²,Word Analyzed,Entropy Rate,Beta,White Noise Fraction,Average Strahler,Strahler Log Coefficient,Strahler R²
Pride-and-prejudice,Unknown,,Early,145413,7780,en,1.31644415661219,0.9776044276360517,0.5054811050862608,0.9910376440667058,1.1274888770790175,0.8429335745689627,0.22591175425463372,0.06671948211984705,",",0.1,0.9711574743443564,0.8848785570352918,7.2004698102086735,0.1714633010469065,0.12716343805740118
Hamlet,Unknown,,Intermediate,39104,4736,en,1.0550429247020094,0.9534558191880014,0.6655737427377637,0.999167802392465,1.0602658390753534,0.7709476782206298,0.07772705015890395,0.007189306028511454,",",0.1,0.9733014549350432,0.8394412085235249,6.801580678770128,0.4183672717512479,0.2519575389464211
White-teeth,Unknown,,Modern,198804,15924,en,1.1355434023395266,0.9759188114482514,0.629258088848459,0.9985307546877137,1.0847653972023903,0.7996989297905555,0.3852333900107498,0.13434615090750152,",",4.5128163159166785,0.10000000000000625,0.8681444067800489,6.79341280208615,0.519164738009043,0.3400961388295229
