Title,Author,Year,Period,Total Words,Unique Words,Language,Zipf Exponent,Zipf R²,Heaps Exponent,Heaps R²,Taylor Exponent,Taylor R²,Correlation Exponent,Correlation R²,Word Analyzed,Entropy Rate,Beta,White Noise Fraction,Average Strahler,Strahler Log Coefficient,Strahler R²
Genji,Unknown,,Early,250,249,jp,0.013722301665099149,0.09008666961404375,,0.0,,,,,:,9.99999999995962,0.9876850524800228,,7.999936761215156,,
Kokoro,Unknown,,Intermediate,1385,1319,jp,0.10693909947305874,0.4037086736006422,0.9372834429698175,1.0,,,,,ええ,7.139951676265885,0.10000000018486187,,7.999958509697819,,
Norwegian-wood,Unknown,,Modern,5209,5060,jp,0.05689260536075406,0.2051085896365559,1.0024785374631036,0.9999956028743842,0.6413716468521476,0.35607226862113117,,,た,8.531060723850008,0.9899999999999999,0.5,7.133171029359498,0.10800258675249698,0.12094933684923123
